Date,Open,High,Low,Close,Volume,AveragePrice,TrueRange,PriceAction,HighestHigh,LowestLow,SMA,EMA,EMA26,UpMove,DownMove,PlusDM,MinusDI,EMADM,ATR,PercK,PercD
22-03-2005,90.59,90.97,88.925,89.3,11263400,89.9475,2.045,-1.2925,94.925,86.285,90.50214286,90.60879285,92.05329282,-0.115,-0.3,0,0,,2.404455728,5.846129862,5.274481641
23-03-2005,88.985,90.12,88.985,89.49,9690000,89.5525,1.135,0.19,94.925,86.285,90.21535714,90.45962047,91.86341928,-0.85,-0.06,0,0,,2.313780318,5.737055998,5.452545653
24-03-2005,90.35,90.43,89.6,89.625,7410400,90.015,0.83,-0.7525,94.925,86.285,89.97785714,90.34833774,91.69761044,0.31,-0.615,0.31,0,,2.20779601,5.539442398,5.707542753
28-03-2005,90.84,92.4,90.475,90.71,17476000,91.4375,1.925,-0.7925,94.925,86.285,89.71392857,90.39655938,91.62445411,1.97,-0.875,1.97,0,,2.187596295,4.403583462,5.226693953
29-03-2005,90.525,91.64,89.035,89.785,12946000,90.3375,2.605,-0.9225,92.4,86.285,89.51285714,90.31501813,91.48819825,-0.76,1.44,0,1.44,,2.217410845,2.802110959,4.24837894
30-03-2005,90.32,90.725,89.8,90.225,12472200,90.2625,0.925,-0.085,92.4,86.285,89.48071429,90.30301571,91.39462801,-0.915,-0.765,0,0,,2.125095785,2.351732713,3.185809045
31-03-2005,88.975,90.695,88.82,90.255,13537200,89.7575,1.875,1.1375,92.4,86.285,89.49964286,90.29661362,91.31021112,-0.03,0.98,0,0.98,,2.1072318,2.350362964,2.501402212
01-04-2005,90.88,91.475,89.995,90.02,12364000,90.735,1.48,-1.145,92.4,86.285,89.57964286,90.2597318,91.21463993,0.78,-1.175,0.78,0,,2.062429529,2.54423005,2.415441909
04-04-2005,89.975,92.66,89.92,92.645,16152800,91.29,2.74,2.69,92.4,87.105,89.9475,90.57776756,91.32059253,1.185,0.075,1.185,0,,2.11082742,-0.273102218,1.540496932
05-04-2005,93.865,95.13,93.785,94.285,17473400,94.4575,1.345,0.0375,92.66,87.505,90.30321429,91.07206522,91.54017826,2.47,-3.865,2.47,0,,2.056125461,-1.754433318,0.172231504
06-04-2005,94.62,94.825,93.79,94.61,10505200,94.3075,1.035,0.2975,95.13,87.9,90.78964286,91.54378986,91.76757247,-0.305,-0.005,0,0,,1.983187928,0.548335223,-0.493066771
07-04-2005,94.39,97.31,94.32,96.88,19384400,95.815,2.99,2.31,95.13,88.625,91.30642857,92.25528454,92.1462708,2.485,-0.53,2.485,0,,2.055103076,-1.885369532,-1.030489209
08-04-2005,96.845,97.55,95.725,96.025,10233200,96.6375,1.825,-1.0225,97.31,88.625,91.73535714,92.75791327,92.43358408,0.24,-1.405,0.24,0,,2.038667142,1.306790736,-0.010081191
11-04-2005,96.545,97.4,96.16,96.615,10821000,96.78,1.24,-0.13,97.55,88.82,92.17642857,93.2721915,92.74331859,-0.15,-0.435,0,0,,1.981619489,0.957207207,0.12620947
12-04-2005,96.5,97.21,94.705,96.98,14639200,95.9575,2.505,1.2625,97.55,88.82,92.725,93.76656597,93.05714684,-0.19,1.455,0,1.455,,2.019003811,0.591977152,0.951991698
13-04-2005,96.735,97.16,94.865,96.465,13111600,96.0125,2.295,0.3175,97.55,88.82,93.22321429,94.12635717,93.30958041,-0.05,-0.16,0,0,,2.038717825,1.115882035,0.888355465
14-04-2005,96.635,97.18,95.05,95.725,12305400,96.115,2.13,-0.845,97.55,88.82,93.65892857,94.33950955,93.48850038,0.02,-0.185,0.02,0,,2.04523798,1.854769043,1.187542743
15-04-2005,95.05,95.17,92.33,92.5,23154800,93.75,2.84,-2.525,97.55,88.82,93.78678571,94.09424161,93.41527813,-2.01,2.72,0,2.72,,2.102006696,5.046215338,2.672288806
18-04-2005,92.29,93.94,91.745,93.485,13100600,92.8425,2.195,1.24,97.55,88.82,94.05107143,94.01300939,93.42044271,-1.23,0.585,0,0.585,,2.108649075,4.220745509,3.707243297
19-04-2005,94.665,96,94.015,95.7,16860000,95.0075,1.985,1.21,97.55,88.82,94.44214286,94.23794148,93.58929881,2.06,-2.27,2.06,0,,2.099816998,1.920282333,3.72908106
20-04-2005,99.29,100.25,97.955,99.05,30903000,99.1025,2.295,-0.1725,97.55,89.92,95.07035714,94.87954928,93.99379519,4.25,-3.94,4.25,0,,2.113758641,-1.534958684,1.535356386
21-04-2005,100.21,102.5,99.66,102.11,35503800,101.08,2.84,1.98,100.25,89.92,95.93392857,95.84360937,94.59499555,2.25,-1.705,2.25,0,,2.165633024,-1.892744479,-0.50247361
22-04-2005,111.45,112,107.13,107.9,66410200,109.565,4.87,-3.44,102.5,91.745,97.02357143,97.45112812,95.58055143,9.5,-7.47,9.5,0,,2.358802093,-5.097224844,-2.841642669
25-04-2005,108.91,112.37,108.76,111.76,39680000,110.565,3.61,2.62,112,91.745,98.27178571,99.35897771,96.77902911,0.37,-1.63,0.37,0,,2.448173373,0.219418541,-2.256850261
26-04-2005,110.11,111,109.14,109.38,34544000,110.07,1.86,-1.055,112.37,91.745,99.32678571,100.695114,97.71243436,-1.37,-0.38,0,0,,2.406160989,2.636103152,-0.747234384
27-04-2005,109,110.42,108.37,109.89,20529600,109.395,2.05,0.94,112.37,91.745,100.2560714,101.9210988,98.61447626,-0.58,0.77,0,0.77,,2.380720918,2.225612492,1.693711395
28-04-2005,109.75,111.04,108.86,109.72,17365600,109.95,2.18,-0.245,112.37,91.745,101.2342857,102.9609523,99.43710764,0.62,-0.49,0.62,0,,2.36638371,2.353150113,2.404955252
29-04-2005,110.96,111.12,108.91,110,18340400,110.015,2.21,-0.495,112.37,91.745,102.1903571,103.899492,100.2195441,0.08,-0.05,0.08,0,,2.355213445,2.099853808,2.226205471
02-05-2005,111.02,111.85,110.1,111.14,19534800,110.975,1.75,0.225,112.37,91.745,103.2017857,104.8648931,101.0284668,0.73,-1.19,0.73,0,,2.311983913,1.096794329,1.84993275
03-05-2005,110.92,114.08,110.66,113.1,35560400,112.37,3.42,1.82,112.37,91.745,104.39,105.9629073,101.9226544,2.23,-0.56,2.23,0,,2.391127919,-0.66033469,0.845437815
04-05-2005,113.62,114.94,113.5,114.25,24167000,114.22,1.44,0.345,114.08,91.745,105.7132143,107.067853,102.8357911,0.86,-2.84,0.86,0,,2.323190211,-0.14947026,0.095663126
05-05-2005,114.31,114.31,112.94,113.49,15019200,113.625,1.37,-0.545,114.94,91.745,107.2125,107.9241393,103.6249918,-0.63,0.56,0,0.56,,2.255105196,1.255574317,0.148589789
06-05-2005,114.2,114.62,113.24,114.01,13527800,113.93,1.38,-0.015,114.94,94.015,108.6785714,108.7355874,104.3942517,0.31,-0.3,0.31,0,,2.192597682,0.809012222,0.638372093
09-05-2005,114,114.25,112.72,113.01,11073600,113.485,1.53,-0.97,114.94,97.955,109.915,109.3055091,105.0324552,-0.37,0.52,0,0.52,,2.145269276,1.66508498,1.24322384
10-05-2005,112.74,113.9,112.36,113.9,12691600,113.13,1.54,1.35,114.94,99.66,110.9757143,109.9181078,105.6893104,-0.35,0.36,0,0.36,,2.102035756,0.915573554,1.129890252
11-05-2005,114.48,115.99,113.96,115.64,22957600,114.975,2.03,1.245,114.94,107.13,111.9421429,110.6810268,106.4263985,2.09,-1.6,2.09,0,,2.096890345,-0.615682308,0.654992075
12-05-2005,115.4,116.12,114.1,114.36,17896400,115.11,2.02,-1.27,115.99,108.37,112.4035714,111.1715566,107.0140727,0.13,-0.14,0.13,0,,2.091398177,1.390073341,0.563321529
13-05-2005,114.59,115.54,113.66,114.62,14831000,114.6,1.88,0.035,116.12,108.37,112.6078571,111.631349,107.5774747,-0.58,0.44,0,0.44,,2.076298308,1.292156609,0.688849214
16-05-2005,114.84,115.81,114.28,115.52,11362800,115.045,1.53,0.815,116.12,108.37,113.0464286,112.1498358,108.1658099,0.27,-0.62,0.27,0,,2.037277,0.520359048,1.067529666
17-05-2005,115.28,116.72,115.1,116.56,15617800,115.91,1.62,1.29,116.12,108.86,113.5228571,112.7378577,108.7876018,0.91,-0.82,0.91,0,,2.0074715,-0.383175128,0.476446843
18-05-2005,116.8,119.98,116.76,119.58,24624000,118.37,3.22,2.6,116.72,108.91,114.2271429,113.6501433,109.5870387,3.26,-1.66,3.26,0,,2.094080679,-2.506133894,-0.789649992
19-05-2005,120.17,120.58,119.14,119.59,19433000,119.86,1.44,-0.56,119.98,110.1,114.9121429,114.4421242,110.3279988,0.6,-2.38,0.6,0,,2.04736063,0.323544052,-0.85525499
20-05-2005,120.6,120.84,119.82,120.8,16327000,120.33,1.02,0.57,120.58,110.66,115.6021429,115.289841,111.1037026,0.26,-0.68,0.26,0,,1.973977728,-0.183318057,-0.788635966
23-05-2005,121.58,129.05,121.36,127.72,42776600,125.205,7.69,5.585,120.84,112.36,116.6464286,116.9471955,112.3345394,8.21,-1.54,8.21,0,,2.382265033,-5.969372262,-1.943048756
24-05-2005,128.48,132.72,126.75,128,58086200,129.735,5.97,-1.975,129.05,112.36,117.6285714,118.4209028,113.4949439,3.67,-5.39,3.67,0,,2.638531816,0.801373784,-1.783772178
25-05-2005,126.36,130.49,125.32,130.4,36115800,127.905,5.17,4.515,132.72,112.36,118.8364286,120.0181158,114.7471703,-2.23,1.43,0,1.43,,2.819350972,1.80960181,-1.119465556
